project_id,project_name,symbol,category,date,event_type,description,importance,potential_impact,source
ethereum,Ethereum,ETH,Layer 1,2025-03-31,Listing,Ethereum listing on major exchange,medium,neutral,CryptoText Analytics (Mock Data)
ethereum,Ethereum,ETH,Layer 1,2025-04-01,Mainnet Launch,Ethereum Mainnet launch after successful testnet phase,high,positive,CryptoText Analytics (Mock Data)
bitcoin,Bitcoin,BTC,Layer 1,2025-04-04,Testnet Launch,Bitcoin Testnet launch for new features,medium,neutral,CryptoText Analytics (Mock Data)
bitcoin,Bitcoin,BTC,Layer 1,2025-04-04,Whitepaper Release,Bitcoin whitepaper 2.0 release,medium,neutral,CryptoText Analytics (Mock Data)
uniswap,Uniswap,UNI,DEX,2025-04-06,Halving,Uniswap mining reward halving event,high,positive,CryptoText Analytics (Mock Data)
dogecoin,Dogecoin,DOGE,Meme Coin,2025-04-07,Hard Fork,Dogecoin network upgrade to improve governance,high,positive,CryptoText Analytics (Mock Data)
polkadot,Polkadot,DOT,Interoperability,2025-04-07,Whitepaper Release,Polkadot whitepaper 2.0 release,medium,neutral,CryptoText Analytics (Mock Data)
avalanche,Avalanche,AVAX,Layer 1,2025-04-08,Testnet Launch,Avalanche Testnet launch for new features,medium,positive,CryptoText Analytics (Mock Data)
ethereum,Ethereum,ETH,Layer 1,2025-04-08,Protocol Update,Ethereum protocol update to version 2.4.1,medium,positive,CryptoText Analytics (Mock Data)
uniswap,Uniswap,UNI,DEX,2025-04-13,Airdrop,Uniswap token airdrop to community members,medium,neutral,CryptoText Analytics (Mock Data)
uniswap,Uniswap,UNI,DEX,2025-04-13,AMA Session,Ask Me Anything session with Uniswap core team,low,neutral,CryptoText Analytics (Mock Data)
dogecoin,Dogecoin,DOGE,Meme Coin,2025-04-15,Hard Fork,Dogecoin network upgrade to improve smart contracts,high,positive,CryptoText Analytics (Mock Data)
uniswap,Uniswap,UNI,DEX,2025-04-15,Whitepaper Release,Uniswap whitepaper 2.0 release,medium,positive,CryptoText Analytics (Mock Data)
bitcoin,Bitcoin,BTC,Layer 1,2025-04-17,Halving,Bitcoin mining reward halving event,high,positive,CryptoText Analytics (Mock Data)
