project_id,project_name,symbol,category,date,event_type,description,importance,potential_impact,source
solana,Solana,SOL,Layer 1,2025-03-25,Whitepaper Release,Solana whitepaper 2.0 release,medium,positive,CryptoText Analytics (Mock Data)
polkadot,Polkadot,DOT,Interoperability,2025-03-25,Testnet Launch,Polkadot Testnet launch for new features,medium,positive,CryptoText Analytics (Mock Data)
ripple,Ripple,XRP,Payment,2025-03-25,Listing,Ripple listing on major exchange,medium,positive,CryptoText Analytics (Mock Data)
ethereum,Ethereum,ETH,Layer 1,2025-03-25,Halving,Ethereum mining reward halving event,high,positive,CryptoText Analytics (Mock Data)
avalanche,Avalanche,AVAX,Layer 1,2025-03-25,Testnet Launch,Avalanche Testnet launch for new features,medium,positive,CryptoText Analytics (Mock Data)
uniswap,Uniswap,UNI,DEX,2025-03-25,AMA Session,Ask Me Anything session with Uniswap core team,low,neutral,CryptoText Analytics (Mock Data)
bitcoin,Bitcoin,BTC,Layer 1,2025-03-25,Hard Fork,Bitcoin network upgrade to improve consensus mechanism,high,positive,CryptoText Analytics (Mock Data)
uniswap,Uniswap,UNI,DEX,2025-03-25,Protocol Update,Uniswap protocol update to version 3.1.5,medium,negative,CryptoText Analytics (Mock Data)
ethereum,Ethereum,ETH,Layer 1,2025-03-25,Protocol Update,Ethereum protocol update to version 2.4.1,medium,positive,CryptoText Analytics (Mock Data)
dogecoin,Dogecoin,DOGE,Meme Coin,2025-03-26,AMA Session,Ask Me Anything session with Dogecoin core team,low,positive,CryptoText Analytics (Mock Data)
ethereum,Ethereum,ETH,Layer 1,2025-03-26,Whitepaper Release,Ethereum whitepaper 2.0 release,medium,positive,CryptoText Analytics (Mock Data)
avalanche,Avalanche,AVAX,Layer 1,2025-03-26,AMA Session,Ask Me Anything session with Avalanche core team,low,negative,CryptoText Analytics (Mock Data)
dogecoin,Dogecoin,DOGE,Meme Coin,2025-03-26,Protocol Update,Dogecoin protocol update to version 1.6.8,medium,positive,CryptoText Analytics (Mock Data)
dogecoin,Dogecoin,DOGE,Meme Coin,2025-03-26,Whitepaper Release,Dogecoin whitepaper 2.0 release,medium,neutral,CryptoText Analytics (Mock Data)
ethereum,Ethereum,ETH,Layer 1,2025-03-26,Token Burn,Scheduled Ethereum token burn event,medium,positive,CryptoText Analytics (Mock Data)
bitcoin,Bitcoin,BTC,Layer 1,2025-03-26,Airdrop,Bitcoin token airdrop to community members,medium,neutral,CryptoText Analytics (Mock Data)
